,certainty
0,5.0
1,5.0
2,4.0
3,5.0
4,1.0
5,2.0
6,5.0
7,4.0
8,4.0
9,2.0
10,5.0
11,5.0
12,4.0
13,4.0
14,3.0
15,3.0
16,4.0
17,4.0
18,5.0
19,5.0
20,5.0
21,5.0
22,4.0
23,4.0
24,5.0
25,4.0
26,4.0
27,3.0
28,3.0
29,4.0
30,4.0
31,4.0
32,4.0
33,3.0
34,5.0
35,5.0
36,5.0
37,5.0
38,1.0
39,5.0
40,4.0
41,4.0
42,5.0
43,5.0
44,5.0
45,5.0
46,4.0
47,4.0
48,1.0
49,3.0
50,5.0
51,3.0
52,4.0
53,5.0
54,5.0
55,5.0
56,5.0
57,5.0
58,5.0
59,4.0
60,5.0
61,5.0
62,5.0
63,4.0
64,5.0
65,4.0
66,4.0
67,5.0
68,5.0
69,4.0
70,4.0
71,5.0
72,5.0
73,5.0
74,5.0
75,5.0
76,5.0
77,3.0
78,3.0
79,4.0
80,5.0
81,4.0
82,4.0
83,4.0
84,3.0
85,5.0
86,4.0
87,4.0
88,5.0
89,5.0
90,5.0
91,3.0
92,3.0
93,5.0
94,5.0
95,5.0
96,4.0
97,5.0
98,5.0
99,4.0
100,3.0
101,5.0
102,5.0
103,5.0
104,4.0
105,4.0
106,5.0
107,5.0
108,3.0
109,5.0
110,5.0
111,4.0
112,5.0
113,5.0
114,4.0
115,4.0
116,5.0
117,5.0
118,4.0
119,5.0
120,3.0
121,5.0
122,5.0
123,5.0
124,4.0
125,5.0
126,5.0
127,5.0
128,5.0
129,4.0
130,3.0
131,5.0
132,4.0
133,5.0
134,4.0
135,3.0
136,3.0
137,4.0
138,4.0
139,5.0
140,4.0
141,4.0
142,4.0
143,5.0
144,3.0
145,3.0
146,3.0
147,3.0
148,3.0
149,3.0
150,3.0
151,5.0
152,4.0
153,5.0
154,5.0
155,5.0
156,4.0
157,4.0
158,5.0
159,5.0
160,5.0
161,5.0
162,5.0
163,5.0
164,4.0
165,4.0
166,5.0
167,5.0
168,5.0
169,4.0
170,5.0
171,4.0
172,4.0
173,3.0
174,3.0
175,4.0
176,4.0
177,3.0
178,5.0
179,5.0
180,5.0
181,3.0
182,4.0
183,5.0
184,5.0
185,4.0
186,4.0
187,4.0
188,4.0
189,4.0
190,4.0
191,4.0
192,5.0
193,5.0
194,5.0
195,5.0
196,3.0
197,3.0
198,3.0
199,5.0
200,4.0
201,5.0
202,5.0
203,5.0
204,5.0
205,5.0
206,5.0
207,5.0
208,3.0
209,4.0
210,5.0
211,4.0
212,5.0
213,5.0
214,4.0
215,5.0
216,5.0
217,5.0
218,4.0
219,5.0
220,5.0
221,4.0
222,5.0
223,5.0
224,5.0
225,4.0
226,5.0
227,5.0
228,4.0
229,5.0
230,5.0
231,5.0
232,4.0
233,5.0
234,4.0
235,4.0
236,3.0
237,3.0
238,5.0
239,5.0
240,5.0
241,5.0
242,5.0
243,5.0
244,5.0
245,4.0
246,5.0
247,3.0
248,4.0
249,4.0
250,4.0
251,5.0
252,4.0
253,5.0
254,5.0
255,4.0
256,5.0
257,3.0
258,4.0
259,5.0
260,5.0
261,5.0
262,3.0
263,5.0
264,4.0
265,5.0
266,4.0
267,4.0
268,3.0
269,4.0
270,4.0
271,5.0
272,2.0
273,4.0
274,4.0
275,4.0
276,4.0
277,4.0
278,5.0
279,5.0
280,5.0
281,5.0
